sensitivity_biomarker;cohorts_max;trial_struc;sharing_type;cohort_random;n_int;setting;Avg_Pat;Avg_Cohorts;PTP;PTT1ER;FWER;Disj_Power
0.9;5;stop_post_back;cohort;0.03;50;Setting1;211,37;3,90;;0,00;0,02;
0.9;7;stop_post_mono;concurrent;0.03;50;Setting6;315,67;5,27;;0,02;0,08;
0.9;3;all_plac;all;0.01;100;Setting13;231,20;2,17;;0,00;0,00;
0.65;5;no_plac;cohort;0.03;50;Setting13;254,01;4,05;;0,04;0,15;
0.9;5;stop_post_back;cohort;0.03;50;Setting2;214,00;3,93;;0,00;0,02;
0.65;5;stop_post_mono;cohort;0.03;50;Setting2;214,91;3,93;;0,01;0,02;
0.9;5;stop_post_mono;cohort;0.03;50;Setting2;213,83;3,91;;0,01;0,02;
0.65;3;all_plac;all;0.01;100;Setting1;228,57;2,16;;0,00;0,00;
0.9;5;stop_post_mono;cohort;0.03;50;Setting1;213,11;3,91;;0,01;0,02;
0.65;5;all_plac;cohort;0.03;50;Setting6;213,63;3,92;;0,00;0,02;
0.9;5;all_plac;cohort;0.03;50;Setting6;219,34;3,93;;0,01;0,03;
0.9;5;no_plac;cohort;0.03;50;Setting13;250,31;4,01;;0,04;0,15;
0.65;5;no_plac;cohort;0.03;50;Setting1;252,69;4,05;;0,04;0,15;
0.9;3;all_plac;all;0.01;100;Setting1;229,38;2,16;;0,00;0,00;
0.65;3;all_plac;all;0.01;100;Setting2;227,62;2,16;;0,00;0,00;
0.9;3;all_plac;all;0.01;100;Setting2;228,50;2,15;;0,00;0,00;
0.65;3;stop_post_back;all;0.01;100;Setting1;228,89;2,16;;0,00;0,00;
0.65;3;stop_post_back;all;0.01;100;Setting13;228,76;2,16;;0,00;0,00;
0.65;3;stop_post_mono;all;0.01;100;Setting13;229,82;2,16;;0,00;0,00;
0.9;3;stop_post_back;all;0.01;100;Setting13;231,91;2,17;;0,00;0,00;
0.65;3;no_plac;all;0.01;100;Setting13;275,77;2,26;;0,03;0,07;
0.9;5;no_plac;cohort;0.03;50;Setting2;255,17;4,06;;0,04;0,14;
0.65;5;stop_post_mono;cohort;0.03;50;Setting6;216,84;3,92;;0,01;0,03;
0.9;3;stop_post_back;all;0.01;100;Setting1;230,80;2,17;;0,00;0,00;
0.9;3;stop_post_mono;all;0.01;100;Setting13;232,46;2,18;;0,00;0,00;
0.65;3;stop_post_mono;all;0.01;100;Setting2;228,11;2,16;;0,00;0,00;
0.65;7;all_plac;cohort;0.03;50;Setting2;278,76;5,16;;0,00;0,02;
0.65;3;stop_post_mono;all;0.01;100;Setting1;228,77;2,16;;0,00;0,00;
0.9;3;stop_post_mono;all;0.01;100;Setting1;229,79;2,16;;0,00;0,00;
0.65;5;stop_post_back;cohort;0.03;50;Setting6;217,05;3,94;;0,01;0,02;
0.9;7;all_plac;cohort;0.03;50;Setting1;276,68;5,16;;0,00;0,01;
0.65;5;no_plac;cohort;0.03;50;Setting2;255,26;4,08;;0,04;0,16;
0.9;5;no_plac;cohort;0.03;50;Setting1;251,29;4,05;;0,04;0,15;
0.65;3;stop_post_back;all;0.01;100;Setting2;227,88;2,16;;0,00;0,00;
0.65;3;no_plac;all;0.01;100;Setting1;273,38;2,25;;0,03;0,07;
0.9;7;all_plac;cohort;0.03;50;Setting13;280,55;5,21;;0,00;0,01;
0.65;7;all_plac;cohort;0.03;50;Setting13;282,55;5,23;;0,00;0,02;
0.9;3;no_plac;all;0.01;100;Setting13;288,78;2,28;;0,03;0,07;
0.9;3;stop_post_back;all;0.01;100;Setting2;228,75;2,16;;0,00;0,00;
0.65;7;all_plac;cohort;0.03;50;Setting1;278,62;5,16;;0,00;0,02;
0.9;5;stop_post_back;cohort;0.03;50;Setting6;222,79;3,96;;0,01;0,04;
0.65;3;all_plac;all;0.01;100;Setting6;234,18;2,18;;0,00;0,00;
0.65;3;no_plac;all;0.01;100;Setting2;273,19;2,25;;0,03;0,07;
0.9;3;no_plac;all;0.01;100;Setting1;287,85;2,28;;0,03;0,06;
0.9;5;stop_post_mono;cohort;0.03;50;Setting6;222,29;3,93;;0,01;0,05;
0.9;3;stop_post_mono;all;0.01;100;Setting2;229,44;2,16;;0,00;0,00;
0.9;7;all_plac;cohort;0.03;50;Setting2;278,69;5,17;;0,00;0,01;
0.9;3;no_plac;all;0.01;100;Setting2;280,08;2,26;;0,03;0,07;
0.65;7;stop_post_mono;cohort;0.03;50;Setting13;288,64;5,23;;0,01;0,04;
0.9;3;all_plac;all;0.01;100;Setting6;252,39;2,21;;0,01;0,01;
0.9;5;no_plac;cohort;0.03;50;Setting6;253,34;4,05;;0,04;0,15;
0.65;5;no_plac;cohort;0.03;50;Setting6;254,65;4,06;;0,04;0,16;
0.65;7;stop_post_back;cohort;0.03;50;Setting13;286,27;5,22;;0,01;0,03;
0.9;7;stop_post_back;cohort;0.03;50;Setting13;285,51;5,21;;0,01;0,04;
0.65;3;stop_post_mono;all;0.01;100;Setting6;234,71;2,18;;0,00;0,01;
0.65;3;stop_post_back;all;0.01;100;Setting6;235,16;2,18;;0,00;0,01;
0.65;5;all_plac;all;0.01;100;Setting13;316,97;2,99;;0,00;0,00;
0.65;7;stop_post_mono;cohort;0.03;50;Setting1;287,80;5,21;;0,01;0,04;
0.65;3;no_plac;all;0.01;100;Setting6;272,62;2,25;;0,03;0,07;
0.65;7;stop_post_back;cohort;0.03;50;Setting1;286,08;5,20;;0,01;0,04;
0.9;7;stop_post_mono;cohort;0.03;50;Setting13;289,10;5,23;;0,01;0,04;
0.9;3;stop_post_back;all;0.01;100;Setting6;252,96;2,21;;0,01;0,01;
0.9;3;stop_post_mono;all;0.01;100;Setting6;252,28;2,21;;0,01;0,01;
0.9;5;all_plac;all;0.01;100;Setting13;320,81;2,98;;0,00;0,00;
0.9;7;stop_post_back;cohort;0.03;50;Setting1;285,49;5,23;;0,01;0,03;
0.65;7;stop_post_back;cohort;0.03;50;Setting2;285,93;5,22;;0,01;0,04;
0.65;5;all_plac;all;0.01;100;Setting1;321,30;3,04;;0,00;0,00;
0.65;5;all_plac;all;0.01;100;Setting2;317,74;3,00;;0,00;0,00;
0.9;7;stop_post_mono;cohort;0.03;50;Setting1;284,87;5,18;;0,01;0,04;
0.65;7;all_plac;cohort;0.03;50;Setting6;286,27;5,25;;0,00;0,02;
0.9;7;all_plac;cohort;0.03;50;Setting6;294,40;5,29;;0,01;0,04;
0.9;7;stop_post_back;cohort;0.03;50;Setting2;288,72;5,26;;0,01;0,03;
0.65;5;stop_post_back;all;0.01;100;Setting13;323,72;3,03;;0,00;0,01;
0.9;3;no_plac;all;0.01;100;Setting6;281,50;2,28;;0,03;0,06;
0.65;7;stop_post_mono;cohort;0.03;50;Setting2;289,51;5,24;;0,01;0,04;
0.9;5;all_plac;all;0.01;100;Setting2;317,08;2,98;;0,00;0,00;
0.9;5;stop_post_back;all;0.01;100;Setting1;321,33;2,99;;0,00;0,01;
0.9;7;stop_post_mono;cohort;0.03;50;Setting2;291,02;5,26;;0,01;0,05;
0.9;5;all_plac;all;0.01;100;Setting1;316,90;2,98;;0,00;0,00;
0.65;5;stop_post_mono;all;0.01;100;Setting13;321,78;3,01;;0,00;0,01;
0.9;5;stop_post_back;all;0.01;100;Setting13;325,37;3,00;;0,00;0,01;
0.9;7;no_plac;cohort;0.03;50;Setting2;335,84;5,37;;0,04;0,18;
0.65;5;stop_post_back;all;0.01;100;Setting1;321,19;3,01;;0,00;0,01;
0.65;7;no_plac;cohort;0.03;50;Setting13;338,12;5,39;;0,04;0,21;
0.65;3;all_plac;dynamic;0.01;100;Setting13;227,60;2,15;;0,00;0,00;
0.65;5;stop_post_mono;all;0.01;100;Setting1;323,56;3,02;;0,00;0,01;
0.9;7;no_plac;cohort;0.03;50;Setting13;337,57;5,41;;0,04;0,19;
0.65;5;stop_post_back;all;0.01;100;Setting2;323,10;3,03;;0,00;0,01;
0.65;3;stop_post_back;dynamic;0.01;100;Setting13;228,32;2,16;;0,00;0,00;
0.65;7;stop_post_back;cohort;0.03;50;Setting6;291,15;5,25;;0,01;0,05;
0.65;5;stop_post_mono;all;0.01;100;Setting2;322,81;3,01;;0,00;0,01;
0.9;5;stop_post_back;all;0.01;100;Setting2;323,15;3,02;;0,00;0,01;
0.65;7;no_plac;cohort;0.03;50;Setting6;340,54;5,43;;0,04;0,21;
0.9;7;stop_post_back;cohort;0.03;50;Setting6;301,07;5,28;;0,01;0,07;
0.9;7;no_plac;cohort;0.03;50;Setting1;332,81;5,36;;0,04;0,19;
0.65;7;no_plac;cohort;0.03;50;Setting2;340,76;5,44;;0,04;0,20;
0.9;5;stop_post_mono;all;0.01;100;Setting13;329,69;3,03;;0,00;0,01;
0.65;5;all_plac;all;0.01;100;Setting6;326,45;3,03;;0,00;0,01;
0.65;7;stop_post_mono;cohort;0.03;50;Setting6;293,07;5,25;;0,01;0,05;
0.65;7;no_plac;cohort;0.03;50;Setting1;338,16;5,39;;0,04;0,19;
0.65;5;no_plac;all;0.01;100;Setting13;392,41;3,19;;0,04;0,11;
0.65;3;all_plac;dynamic;0.01;100;Setting1;229,86;2,18;;0,00;0,00;
0.9;3;all_plac;dynamic;0.01;100;Setting13;229,46;2,17;;0,00;0,00;
0.9;5;stop_post_mono;all;0.01;100;Setting2;323,18;3,01;;0,00;0,01;
0.65;3;all_plac;dynamic;0.01;100;Setting2;225,91;2,15;;0,00;0,00;
0.9;5;stop_post_mono;all;0.01;100;Setting1;322,01;2,99;;0,00;0,01;
0.9;5;no_plac;all;0.01;100;Setting2;402,07;3,25;;0,03;0,09;
0.9;5;no_plac;all;0.01;100;Setting1;414,37;3,26;;0,02;0,07;
0.65;7;all_plac;all;0.01;100;Setting2;390,29;3,68;;0,00;0,00;
0.65;3;stop_post_back;dynamic;0.01;100;Setting1;230,07;2,17;;0,00;0,00;
0.9;7;no_plac;cohort;0.03;50;Setting6;341,68;5,46;;0,04;0,18;
0.65;5;no_plac;all;0.01;100;Setting1;386,11;3,17;;0,03;0,09;
0.9;3;all_plac;dynamic;0.01;100;Setting2;229,07;2,16;;0,00;0,00;
0.9;7;stop_post_mono;cohort;0.03;50;Setting6;304,94;5,32;;0,02;0,08;
0.9;5;no_plac;all;0.01;100;Setting13;415,86;3,27;;0,03;0,11;
0.65;7;all_plac;all;0.01;100;Setting13;394,19;3,69;;0,00;0,00;
0.9;3;all_plac;dynamic;0.01;100;Setting1;226,39;2,14;;0,00;0,00;
0.65;5;no_plac;all;0.01;100;Setting2;390,69;3,18;;0,03;0,10;
0.9;3;stop_post_back;dynamic;0.01;100;Setting13;228,98;2,16;;0,00;0,00;
0.9;5;all_plac;all;0.01;100;Setting6;357,21;3,11;;0,01;0,02;
0.65;3;stop_post_mono;dynamic;0.01;100;Setting13;227,36;2,15;;0,00;0,00;
0.65;7;stop_post_back;all;0.01;100;Setting13;398,43;3,67;;0,00;0,02;
0.65;5;stop_post_back;all;0.01;100;Setting6;329,48;3,02;;0,00;0,01;
0.9;3;stop_post_mono;dynamic;0.01;100;Setting1;228,00;2,16;;0,00;0,00;
0.9;3;stop_post_back;dynamic;0.01;100;Setting1;228,20;2,16;;0,00;0,00;
0.9;3;stop_post_mono;dynamic;0.01;100;Setting13;229,34;2,16;;0,00;0,00;
0.65;3;stop_post_mono;dynamic;0.01;100;Setting1;229,55;2,17;;0,00;0,00;
0.65;3;stop_post_back;dynamic;0.01;100;Setting2;227,82;2,16;;0,00;0,00;
0.9;7;all_plac;all;0.01;100;Setting13;400,64;3,70;;0,00;0,01;
0.9;7;all_plac;all;0.01;100;Setting1;392,68;3,67;;0,00;0,00;
0.65;5;stop_post_mono;all;0.01;100;Setting6;329,34;3,02;;0,00;0,01;
0.65;7;all_plac;all;0.01;100;Setting1;393,19;3,70;;0,00;0,00;
0.65;3;no_plac;dynamic;0.01;100;Setting13;273,84;2,26;;0,03;0,07;
0.65;5;no_plac;all;0.01;100;Setting6;392,16;3,21;;0,03;0,09;
0.65;3;no_plac;dynamic;0.01;100;Setting1;271,78;2,25;;0,03;0,07;
0.9;5;stop_post_back;all;0.01;100;Setting6;360,50;3,12;;0,01;0,02;
0.65;3;stop_post_mono;dynamic;0.01;100;Setting2;227,53;2,15;;0,00;0,00;
0.9;3;stop_post_back;dynamic;0.01;100;Setting2;228,98;2,16;;0,00;0,00;
0.9;7;all_plac;all;0.01;100;Setting2;393,68;3,69;;0,00;0,00;
0.9;3;stop_post_mono;dynamic;0.01;100;Setting2;229,08;2,16;;0,00;0,00;
0.9;3;no_plac;dynamic;0.01;100;Setting13;285,57;2,28;;0,03;0,06;
0.65;3;all_plac;dynamic;0.01;100;Setting6;233,71;2,18;;0,00;0,00;
0.9;5;no_plac;all;0.01;100;Setting6;405,63;3,27;;0,03;0,09;
0.65;7;all_plac;all;0.01;100;Setting6;402,07;3,71;;0,00;0,00;
0.9;3;no_plac;dynamic;0.01;100;Setting1;285,75;2,28;;0,02;0,05;
0.65;3;no_plac;dynamic;0.01;100;Setting2;270,20;2,24;;0,03;0,07;
0.65;7;stop_post_back;all;0.01;100;Setting2;391,18;3,63;;0,00;0,02;
0.9;7;stop_post_mono;all;0.01;100;Setting13;412,22;3,73;;0,01;0,03;
0.9;5;stop_post_mono;all;0.01;100;Setting6;359,44;3,10;;0,01;0,02;
0.65;5;all_plac;dynamic;0.01;100;Setting13;317,76;3,00;;0,00;0,00;
0.9;3;no_plac;dynamic;0.01;100;Setting2;278,15;2,26;;0,03;0,07;
0.9;3;all_plac;dynamic;0.01;100;Setting6;249,97;2,21;;0,00;0,01;
0.65;7;stop_post_mono;all;0.01;100;Setting13;402,80;3,69;;0,01;0,02;
0.9;7;stop_post_back;all;0.01;100;Setting13;407,54;3,71;;0,01;0,02;
0.65;7;stop_post_back;all;0.01;100;Setting1;395,04;3,67;;0,00;0,01;
0.65;3;stop_post_back;dynamic;0.01;100;Setting6;233,51;2,17;;0,00;0,01;
0.65;7;stop_post_mono;all;0.01;100;Setting1;395,01;3,65;;0,01;0,02;
0.65;5;all_plac;dynamic;0.01;100;Setting1;317,65;3,01;;0,00;0,00;
0.65;7;no_plac;all;0.01;100;Setting13;497,99;4,01;;0,04;0,14;
0.9;7;stop_post_back;all;0.01;100;Setting1;408,97;3,76;;0,00;0,01;
0.65;3;stop_post_mono;dynamic;0.01;100;Setting6;234,79;2,18;;0,00;0,01;
0.65;7;stop_post_mono;all;0.01;100;Setting2;399,69;3,69;;0,00;0,02;
0.9;7;stop_post_back;all;0.01;100;Setting2;400,51;3,70;;0,00;0,01;
0.9;5;all_plac;dynamic;0.01;100;Setting13;319,53;2,99;;0,00;0,00;
0.65;5;all_plac;dynamic;0.01;100;Setting2;317,13;2,99;;0,00;0,00;
0.9;7;stop_post_mono;all;0.01;100;Setting2;402,75;3,71;;0,00;0,02;
0.9;3;stop_post_back;dynamic;0.01;100;Setting6;249,64;2,20;;0,00;0,01;
0.9;7;stop_post_mono;all;0.01;100;Setting1;407,39;3,72;;0,00;0,01;
0.9;3;stop_post_mono;dynamic;0.01;100;Setting6;250,15;2,20;;0,00;0,01;
0.65;3;no_plac;dynamic;0.01;100;Setting6;271,24;2,25;;0,03;0,07;
0.65;3;all_plac;concurrent;0.01;100;Setting13;228,53;2,16;;0,00;0,00;
0.9;5;all_plac;dynamic;0.01;100;Setting1;316,41;2,98;;0,00;0,00;
0.65;5;stop_post_back;dynamic;0.01;100;Setting13;322,45;3,02;;0,00;0,01;
0.65;7;no_plac;all;0.01;100;Setting1;495,52;4,02;;0,03;0,11;
0.9;3;no_plac;dynamic;0.01;100;Setting6;281,03;2,28;;0,03;0,06;
0.9;7;no_plac;all;0.01;100;Setting2;508,36;4,09;;0,03;0,11;
0.65;5;stop_post_mono;dynamic;0.01;100;Setting13;320,03;3,00;;0,00;0,01;
0.9;7;no_plac;all;0.01;100;Setting13;536,32;4,18;;0,04;0,15;
0.9;7;all_plac;all;0.01;100;Setting6;445,30;3,85;;0,01;0,02;
0.65;7;no_plac;all;0.01;100;Setting2;493,55;4,00;;0,03;0,12;
0.9;5;all_plac;dynamic;0.01;100;Setting2;320,11;3,02;;0,00;0,00;
0.9;5;stop_post_back;dynamic;0.01;100;Setting13;323,27;3,00;;0,00;0,01;
0.65;3;all_plac;concurrent;0.01;100;Setting2;228,13;2,16;;0,00;0,00;
0.9;5;stop_post_mono;dynamic;0.01;100;Setting13;321,68;2,99;;0,00;0,01;
0.65;5;stop_post_back;dynamic;0.01;100;Setting1;324,21;3,04;;0,00;0,01;
0.65;5;stop_post_mono;dynamic;0.01;100;Setting1;325,01;3,04;;0,00;0,01;
0.9;7;no_plac;all;0.01;100;Setting1;527,39;4,15;;0,02;0,09;
0.9;5;stop_post_back;dynamic;0.01;100;Setting1;319,63;2,99;;0,00;0,01;
0.65;7;stop_post_back;all;0.01;100;Setting6;412,52;3,73;;0,01;0,02;
0.65;5;stop_post_back;dynamic;0.01;100;Setting2;320,34;3,00;;0,00;0,01;
0.9;5;stop_post_mono;dynamic;0.01;100;Setting2;323,21;3,02;;0,00;0,01;
0.65;5;all_plac;dynamic;0.01;100;Setting6;328,51;3,04;;0,00;0,01;
0.9;5;stop_post_back;dynamic;0.01;100;Setting2;320,92;3,01;;0,00;0,01;
0.65;3;all_plac;concurrent;0.01;100;Setting1;229,74;2,17;;0,00;0,00;
0.65;5;stop_post_mono;dynamic;0.01;100;Setting2;322,56;3,02;;0,00;0,01;
0.9;3;all_plac;concurrent;0.01;100;Setting1;230,54;2,16;;0,00;0,00;
0.9;3;all_plac;concurrent;0.01;100;Setting13;231,24;2,17;;0,00;0,00;
0.65;3;stop_post_back;concurrent;0.01;100;Setting13;228,86;2,16;;0,00;0,00;
0.65;5;no_plac;dynamic;0.01;100;Setting13;397,61;3,24;;0,03;0,10;
0.9;3;stop_post_back;concurrent;0.01;100;Setting13;231,70;2,17;;0,00;0,00;
0.9;5;stop_post_mono;dynamic;0.01;100;Setting1;323,72;3,02;;0,00;0,01;
0.65;7;stop_post_mono;all;0.01;100;Setting6;408,25;3,69;;0,01;0,02;
0.9;3;all_plac;concurrent;0.01;100;Setting2;232,01;2,17;;0,00;0,00;
0.9;5;no_plac;dynamic;0.01;100;Setting1;408,66;3,25;;0,02;0,06;
0.9;3;stop_post_mono;concurrent;0.01;100;Setting13;231,70;2,16;;0,00;0,00;
0.9;5;no_plac;dynamic;0.01;100;Setting13;414,74;3,29;;0,03;0,10;
0.65;5;no_plac;dynamic;0.01;100;Setting1;393,23;3,23;;0,03;0,09;
0.65;5;no_plac;dynamic;0.01;100;Setting2;391,70;3,20;;0,03;0,10;
0.9;5;all_plac;dynamic;0.01;100;Setting6;351,38;3,09;;0,00;0,02;
0.9;7;stop_post_back;all;0.01;100;Setting6;449,32;3,86;;0,01;0,04;
0.65;7;no_plac;all;0.01;100;Setting6;495,75;4,01;;0,03;0,12;
0.9;3;stop_post_mono;concurrent;0.01;100;Setting1;229,62;2,15;;0,00;0,00;
0.65;3;stop_post_mono;concurrent;0.01;100;Setting13;229,70;2,16;;0,00;0,00;
0.9;3;stop_post_back;concurrent;0.01;100;Setting1;228,51;2,15;;0,00;0,00;
0.65;5;stop_post_back;dynamic;0.01;100;Setting6;332,05;3,05;;0,00;0,01;
0.65;3;stop_post_back;concurrent;0.01;100;Setting1;229,55;2,17;;0,00;0,00;
0.65;3;stop_post_mono;concurrent;0.01;100;Setting1;229,27;2,16;;0,00;0,00;
0.9;7;stop_post_mono;all;0.01;100;Setting6;455,05;3,88;;0,01;0,04;
0.9;7;all_plac;dynamic;0.01;100;Setting13;392,97;3,66;;0,00;0,00;
0.65;7;all_plac;dynamic;0.01;100;Setting13;398,03;3,73;;0,00;0,00;
0.65;3;stop_post_back;concurrent;0.01;100;Setting2;228,55;2,16;;0,00;0,00;
0.9;5;no_plac;dynamic;0.01;100;Setting2;398,91;3,23;;0,03;0,08;
0.65;3;no_plac;concurrent;0.01;100;Setting13;270,89;2,26;;0,03;0,07;
0.9;3;no_plac;concurrent;0.01;100;Setting13;286,56;2,28;;0,03;0,06;
0.9;3;stop_post_back;concurrent;0.01;100;Setting2;232,39;2,18;;0,00;0,00;
0.65;3;stop_post_mono;concurrent;0.01;100;Setting2;228,10;2,15;;0,00;0,00;
0.65;7;all_plac;dynamic;0.01;100;Setting1;396,56;3,74;;0,00;0,00;
0.9;7;no_plac;all;0.01;100;Setting6;516,45;4,14;;0,03;0,11;
0.65;3;no_plac;concurrent;0.01;100;Setting1;269,63;2,25;;0,03;0,07;
0.65;5;stop_post_mono;dynamic;0.01;100;Setting6;331,94;3,04;;0,00;0,01;
0.65;7;all_plac;dynamic;0.01;100;Setting2;388,30;3,66;;0,00;0,00;
0.65;7;stop_post_mono;dynamic;0.01;100;Setting13;403,11;3,70;;0,01;0,02;
0.9;7;all_plac;dynamic;0.01;100;Setting1;391,50;3,68;;0,00;0,00;
0.65;7;stop_post_back;dynamic;0.01;100;Setting13;400,68;3,71;;0,00;0,02;
0.9;5;stop_post_back;dynamic;0.01;100;Setting6;355,50;3,11;;0,01;0,02;
0.9;7;stop_post_back;dynamic;0.01;100;Setting2;399,80;3,70;;0,00;0,01;
0.9;3;stop_post_mono;concurrent;0.01;100;Setting2;232,05;2,17;;0,00;0,00;
0.65;3;no_plac;concurrent;0.01;100;Setting2;268,83;2,24;;0,03;0,07;
0.9;7;all_plac;dynamic;0.01;100;Setting2;395,99;3,72;;0,00;0,00;
0.9;3;all_plac;concurrent;0.01;100;Setting6;253,73;2,22;;0,00;0,01;
0.65;5;no_plac;dynamic;0.01;100;Setting6;391,44;3,21;;0,03;0,09;
0.65;3;all_plac;concurrent;0.01;100;Setting6;233,99;2,18;;0,00;0,00;
0.65;5;all_plac;concurrent;0.01;100;Setting13;317,53;3,00;;0,00;0,00;
0.9;7;stop_post_back;dynamic;0.01;100;Setting13;400,19;3,67;;0,01;0,02;
0.9;3;no_plac;concurrent;0.01;100;Setting2;278,59;2,26;;0,03;0,07;
0.9;5;no_plac;dynamic;0.01;100;Setting6;406,43;3,29;;0,03;0,09;
0.9;3;no_plac;concurrent;0.01;100;Setting1;290,92;2,29;;0,02;0,06;
0.9;7;stop_post_mono;dynamic;0.01;100;Setting2;403,86;3,72;;0,00;0,01;
0.9;5;stop_post_mono;dynamic;0.01;100;Setting6;353,29;3,08;;0,01;0,02;
0.65;7;stop_post_mono;dynamic;0.01;100;Setting1;398,23;3,69;;0,00;0,02;
0.65;3;stop_post_back;concurrent;0.01;100;Setting6;233,62;2,17;;0,00;0,00;
0.65;7;stop_post_mono;dynamic;0.01;100;Setting2;400,88;3,70;;0,00;0,02;
0.65;5;all_plac;concurrent;0.01;100;Setting1;317,11;2,99;;0,00;0,00;
0.9;7;stop_post_mono;dynamic;0.01;100;Setting1;403,72;3,71;;0,00;0,01;
0.65;7;stop_post_back;dynamic;0.01;100;Setting2;393,59;3,66;;0,00;0,01;
0.65;7;all_plac;dynamic;0.01;100;Setting6;400,38;3,71;;0,00;0,01;
0.65;7;stop_post_back;dynamic;0.01;100;Setting1;400,92;3,72;;0,00;0,01;
0.65;7;no_plac;dynamic;0.01;100;Setting13;496,86;4,01;;0,03;0,13;
0.9;5;all_plac;concurrent;0.01;100;Setting13;319,82;2,99;;0,00;0,00;
0.65;5;all_plac;concurrent;0.01;100;Setting2;318,65;3,01;;0,00;0,00;
0.9;7;stop_post_mono;dynamic;0.01;100;Setting13;404,71;3,70;;0,01;0,02;
0.9;7;stop_post_back;dynamic;0.01;100;Setting1;401,48;3,71;;0,00;0,01;
0.65;3;stop_post_mono;concurrent;0.01;100;Setting6;234,11;2,17;;0,00;0,01;
0.9;3;stop_post_back;concurrent;0.01;100;Setting6;254,67;2,22;;0,01;0,01;
0.65;5;stop_post_back;concurrent;0.01;100;Setting13;318,02;2,99;;0,00;0,01;
0.65;3;no_plac;concurrent;0.01;100;Setting6;270,38;2,26;;0,03;0,07;
0.65;5;stop_post_mono;concurrent;0.01;100;Setting13;318,42;2,98;;0,00;0,01;
0.9;5;all_plac;concurrent;0.01;100;Setting2;321,74;3,01;;0,00;0,00;
0.9;7;no_plac;dynamic;0.01;100;Setting2;505,71;4,09;;0,03;0,10;
0.65;7;no_plac;dynamic;0.01;100;Setting2;488,41;3,97;;0,03;0,12;
0.9;7;no_plac;dynamic;0.01;100;Setting13;533,46;4,20;;0,03;0,14;
0.9;5;stop_post_back;concurrent;0.01;100;Setting13;324,04;3,01;;0,00;0,01;
0.9;5;all_plac;concurrent;0.01;100;Setting1;318,76;2,98;;0,00;0,00;
0.9;3;no_plac;concurrent;0.01;100;Setting6;279,63;2,28;;0,03;0,07;
0.9;5;stop_post_mono;concurrent;0.01;100;Setting13;324,16;2,99;;0,00;0,01;
0.65;7;no_plac;dynamic;0.01;100;Setting1;496,59;4,05;;0,03;0,11;
0.9;7;all_plac;dynamic;0.01;100;Setting6;439,29;3,83;;0,00;0,02;
0.9;5;stop_post_back;concurrent;0.01;100;Setting2;320,45;2,98;;0,00;0,01;
0.9;3;stop_post_mono;concurrent;0.01;100;Setting6;252,85;2,21;;0,00;0,01;
0.65;5;stop_post_back;concurrent;0.01;100;Setting1;323,28;3,03;;0,00;0,01;
0.65;5;stop_post_back;concurrent;0.01;100;Setting2;320,21;3,01;;0,00;0,01;
0.65;5;stop_post_mono;concurrent;0.01;100;Setting1;322,91;3,02;;0,00;0,01;
0.65;7;stop_post_back;dynamic;0.01;100;Setting6;411,41;3,73;;0,01;0,02;
0.65;5;no_plac;concurrent;0.01;100;Setting13;387,51;3,20;;0,03;0,10;
0.9;5;stop_post_back;concurrent;0.01;100;Setting1;326,01;3,02;;0,00;0,01;
0.9;7;no_plac;dynamic;0.01;100;Setting1;525,76;4,16;;0,02;0,08;
0.65;7;stop_post_mono;dynamic;0.01;100;Setting6;407,91;3,70;;0,01;0,02;
0.65;7;all_plac;concurrent;0.01;100;Setting13;390,01;3,68;;0,00;0,00;
0.9;5;stop_post_mono;concurrent;0.01;100;Setting1;326,20;3,00;;0,00;0,01;
0.9;7;stop_post_mono;dynamic;0.01;100;Setting6;447,85;3,85;;0,01;0,04;
0.65;5;stop_post_mono;concurrent;0.01;100;Setting2;322,51;3,01;;0,00;0,01;
0.9;3;all_plac;cohort;0.01;100;Setting13;227,29;2,17;;0,00;0,00;
0.65;5;all_plac;concurrent;0.01;100;Setting6;326,68;3,04;;0,00;0,00;
0.65;3;all_plac;cohort;0.01;100;Setting13;227,33;2,16;;0,00;0,00;
0.9;5;no_plac;concurrent;0.01;100;Setting13;411,44;3,30;;0,03;0,09;
0.65;5;no_plac;concurrent;0.01;100;Setting1;386,57;3,20;;0,03;0,09;
0.65;7;no_plac;dynamic;0.01;100;Setting6;497,15;4,03;;0,03;0,11;
0.65;5;no_plac;concurrent;0.01;100;Setting2;380,15;3,15;;0,03;0,09;
0.65;3;all_plac;cohort;0.01;100;Setting1;228,48;2,17;;0,00;0,00;
0.9;7;stop_post_back;dynamic;0.01;100;Setting6;446,77;3,86;;0,01;0,03;
0.9;3;all_plac;cohort;0.01;100;Setting1;225,94;2,16;;0,00;0,00;
0.9;7;no_plac;dynamic;0.01;100;Setting6;510,19;4,10;;0,03;0,10;
0.9;5;stop_post_mono;concurrent;0.01;100;Setting2;323,09;2,99;;0,00;0,01;
0.9;3;stop_post_back;cohort;0.01;100;Setting13;226,31;2,16;;0,00;0,00;
0.9;3;stop_post_back;cohort;0.01;100;Setting1;225,55;2,16;;0,00;0,01;
0.65;3;stop_post_back;cohort;0.01;100;Setting13;226,97;2,15;;0,00;0,00;
0.9;5;no_plac;concurrent;0.01;100;Setting2;399,68;3,26;;0,03;0,09;
0.65;3;stop_post_back;cohort;0.01;100;Setting1;228,15;2,17;;0,00;0,00;
