ShortTermEndpointQuality,Maximumnumberofcohorts,TypeofDataSharing,CohortInclusionRate,FinalCohortSampleSize,InterimFutilityStopping,TreatmentEfficacySetting,Avg_Pat,Avg_Pat_First_Suc,Avg_Perc_Pat_Sup_Plac,Avg_Cohorts,FDR,PTP,PTT1ER,FWER,Disj_Power,FWER_BA,Disj_Power_BA
0.9,5,concurrent,0.01,200,Yes,1,497.21,563.7788834,0.665196107,3.4836,0.017420377,0.319926664,0.005695547,0.011237313,0.451791326,0.0093,0.3594
0.65,5,concurrent,0.03,100,Yes,9,234.4444,189.1111111,0,3.9881,1,,0.000451343,0.0018,,0.0018,0
0.9,5,concurrent,0.03,100,Yes,9,237.3076,258.2,0,3.9899,1,,0.000526329,0.0021,,0.0021,0
1,5,concurrent,0.03,100,Yes,9,239.1604,234.0689655,0,4.0075,1,,0.000723643,0.0029,,0.0029,0
1,5,concurrent,0.01,200,Yes,1,534.0284,516.1529158,0.666613204,3.5822,0.022278803,0.426619265,0.009820426,0.019891073,0.577553594,0.0168,0.458
0.65,3,cohort,0.01,200,Yes,1,261.13,380.9514066,0.626139167,2.2292,0.022360248,0.07058296,0.001615509,0.00242359,0.104351385,0.0018,0.0765
1,3,cohort,0.03,100,Yes,9,152.2212,168.5333333,0,2.5857,1,,0.000580114,0.0015,,0.0015,0
0.65,7,concurrent,0.01,200,Yes,1,482.4792,734.783848,0.659800465,3.9892,0.018418688,0.108901515,0.002067783,0.005152696,0.212506355,0.0041,0.1672
0.65,3,cohort,0.03,100,Yes,9,147.7976,144,0,2.573,1,,0.000272056,0.0007,,0.0007,0
0.9,3,cohort,0.03,100,Yes,9,147.8648,129.3333333,0,2.5682,1,,0.00035044,0.0009,,0.0009,0
0.65,7,concurrent,0.03,100,Yes,9,315.9244,218.5263158,0,5.3321,1,,0.000375087,0.0019,,0.0019,0
0.9,3,cohort,0.01,200,Yes,1,322.46,387.8087506,0.627790833,2.3401,0.023312883,0.20335519,0.004889346,0.007390121,0.292222672,0.0057,0.2168
0.9,7,concurrent,0.03,100,Yes,9,320.1164,331.36,0,5.3598,1,,0.000485093,0.0025,,0.0025,0
1,7,concurrent,0.03,100,Yes,9,322.6236,342.1818182,0,5.3686,1,,0.000428417,0.0022,,0.0022,0
0.9,7,concurrent,0.01,200,Yes,1,647.2784,701.2649332,0.668640086,4.5178,0.017988757,0.348386811,0.006367737,0.016285107,0.531675622,0.0138,0.4255
1,3,cohort,0.01,200,Yes,1,355.21,365.8848022,0.629112917,2.4157,0.025174401,0.265993545,0.006874275,0.010574595,0.374534822,0.0083,0.2818
1,7,concurrent,0.01,200,Yes,1,710.0936,632.9483374,0.672654709,4.7386,0.0245256,0.457265137,0.011633338,0.029701822,0.651334399,0.0256,0.5296
1,5,cohort,0.03,100,Yes,9,235.214,270.5,0,3.9971,1,,0.000600435,0.0024,,0.0024,0
0.65,5,cohort,0.03,100,Yes,9,228.5756,203.7647059,0,3.9719,1,,0.000428007,0.0017,,0.0017,0
0.9,5,cohort,0.03,100,Yes,9,230.9576,223.7647059,0,4.001,1,,0.000424894,0.0017,,0.0017,0
0.65,5,cohort,0.01,200,Yes,1,374.76,544.5225564,0.626929256,3.1934,0.014873141,0.070182,0.001069855,0.002156813,0.134032485,0.0017,0.1048
0.9,3,all,0.01,200,Yes,9,246.5168,326.6666667,0,2.2081,1,,0.000135863,0.0003,,0.0003,0
0.65,3,all,0.01,200,Yes,9,240.1048,146.6666667,0,2.1789,1,,0.000137684,0.0003,,0.0003,0
1,3,all,0.01,200,Yes,9,247.6312,336.2857143,0,2.2029,1,,0.000635526,0.0014,,0.0014,0
0.65,7,cohort,0.03,100,Yes,9,307.1392,289.3333333,0,5.3476,1,,0.0002805,0.0015,,0.0015,0
0.9,7,cohort,0.03,100,Yes,9,307.8124,291.8571429,0,5.3323,1,,0.000525102,0.0028,,0.0028,0
0.9,5,cohort,0.01,200,Yes,1,479.81,559.4201144,0.628539464,3.4776,0.021458047,0.202932451,0.004522263,0.009363745,0.36935341,0.0078,0.2919
1,7,cohort,0.03,100,Yes,9,317.6012,314.4390244,0,5.4059,1,,0.000758431,0.0041,,0.0041,0
0.65,3,all,0.03,200,Yes,1,348.6016,439.3096296,0.670601808,2.9175,0.015161087,0.1071036,0.001641699,0.002670072,0.155720585,0.0023,0.1342
1,5,cohort,0.01,200,Yes,1,530.92,531.4745118,0.629431627,3.5954,0.028965785,0.277361319,0.008303149,0.017539701,0.482629343,0.0148,0.3862
0.9,3,all,0.03,200,Yes,1,413.0044,437.5538117,0.678024851,2.9325,0.016666667,0.327418471,0.005499355,0.008925467,0.41445755,0.0077,0.3549
1,3,all,0.03,200,Yes,1,431.3616,395.6246181,0.680927327,2.9412,0.020980069,0.441240038,0.009585102,0.015391737,0.530123284,0.0133,0.4558
0.65,5,all,0.01,200,Yes,9,341.7224,390,0,3.0768,1,,0.00026001,0.0008,,0.0008,0
1,5,all,0.01,200,Yes,9,353.6432,532.3076923,0,3.1403,1,,0.000413973,0.0013,,0.0013,0
0.9,5,all,0.01,200,Yes,9,344.5692,366.6666667,0,3.0758,1,,0.000422654,0.0012,,0.0012,0
0.65,7,cohort,0.01,200,Yes,1,466.87,688.0339244,0.626893087,3.9993,0.021861777,0.069190861,0.001554118,0.003908713,0.160886076,0.0031,0.1271
0.9,3,dynamic,0.01,200,Yes,9,242.7484,235,0,2.2041,1,,0.00018148,0.0004,,0.0004,0
0.65,3,dynamic,0.01,200,Yes,9,238.9544,186.6666667,0,2.1789,1,,0.000413052,0.0009,,0.0009,0
1,3,dynamic,0.01,200,Yes,9,243.206,261,0,2.202,1,,0.000181653,0.0004,,0.0004,0
0.9,7,cohort,0.01,200,Yes,1,620.3,709.8114708,0.62672426,4.5052,0.020878175,0.202573922,0.004292795,0.011419826,0.435398896,0.0097,0.3471
0.9,7,all,0.01,200,Yes,9,431.5896,720,0,3.8338,1,,0.000286922,0.0011,,0.0011,0
1,7,all,0.01,200,Yes,9,443.5832,628.6153846,0,3.9018,1,,0.00033318,0.0013,,0.0013,0
0.65,7,all,0.01,200,Yes,9,428.4148,370.9090909,0,3.8314,1,,0.000287101,0.0011,,0.0011,0
1,7,cohort,0.01,200,Yes,1,694.09,679.6435125,0.628131091,4.7159,0.028136882,0.270843047,0.007850293,0.021424435,0.555872151,0.0185,0.4487
0.65,5,all,0.03,200,Yes,1,584.202,687.149892,0.689046851,4.8158,0.015213946,0.129178447,0.001991206,0.004751848,0.243020305,0.0045,0.2298
0.65,5,dynamic,0.01,200,Yes,9,336.2344,381.7777778,0,3.0413,1,,0.000295926,0.0009,,0.0009,0
0.9,5,dynamic,0.01,200,Yes,9,343.3676,380,0,3.0955,1,,0.00025844,0.0007,,0.0007,0
0.9,5,all,0.03,200,Yes,1,694.0732,665.9038817,0.702601032,4.8763,0.014570475,0.397088804,0.005941329,0.013343063,0.567914214,0.0128,0.5402
1,5,dynamic,0.01,200,Yes,9,338.264,406,0,3.0516,1,,0.000196618,0.0006,,0.0006,0
1,5,all,0.03,200,Yes,1,711.5212,591.5733662,0.701666895,4.8918,0.021278248,0.516537563,0.011175007,0.026105044,0.678485262,0.0251,0.6468
0.65,3,concurrent,0.01,200,Yes,9,243.6628,198.6666667,0,2.1929,1,,0.000136805,0.0003,,0.0003,0
0.9,3,concurrent,0.01,200,Yes,9,247.6868,307,0,2.2015,1,,0.000181694,0.0004,,0.0004,0
0.65,7,all,0.03,200,Yes,1,822.6356,917.0264792,0.699334503,6.7264,0.011997474,0.139764776,0.001692449,0.00576191,0.31441228,0.0056,0.3052
1,3,concurrent,0.01,200,Yes,9,250.8824,311.1111111,0,2.2021,1,,0.000408701,0.0009,,0.0009,0
0.65,7,dynamic,0.01,200,Yes,9,423.3028,545.3333333,0,3.8049,1,,0.000236537,0.0009,,0.0009,0
0.65,3,dynamic,0.03,200,Yes,1,343.8876,435.9777159,0.671434668,2.9142,0.012468828,0.081070015,0.00103534,0.001741553,0.123856928,0.0015,0.107
0.9,7,dynamic,0.01,200,Yes,9,425.938,436.4444444,0,3.8243,1,,0.000235337,0.0009,,0.0009,0
1,7,dynamic,0.01,200,Yes,9,428.1644,789.7777778,0,3.8419,1,,0.000234259,0.0009,,0.0009,0
1,3,dynamic,0.03,200,Yes,1,417.2756,400.4459424,0.680195194,2.9464,0.013578122,0.351817748,0.004796325,0.007835004,0.448839109,0.0068,0.3847
0.9,3,dynamic,0.03,200,Yes,1,401.3116,432.0605857,0.67868307,2.9326,0.012585212,0.255581948,0.003289699,0.005449275,0.344507598,0.0047,0.297
0.9,7,all,0.03,200,Yes,1,973.3972,873.4158908,0.71243876,6.7868,0.016076094,0.436030634,0.00702165,0.023179822,0.662105155,0.0227,0.6435
1,7,all,0.03,200,Yes,1,993.5584,761.6920575,0.713076613,6.8331,0.017565938,0.5506863,0.009764486,0.029967493,0.75687885,0.0295,0.7372
0.65,5,concurrent,0.01,200,Yes,9,346.2688,405.2,0,3.1021,1,,0.000322362,0.001,,0.001,0
0.65,5,dynamic,0.03,200,Yes,1,578.2904,679.737982,0.686594182,4.8242,0.012647555,0.097750323,0.001235432,0.003039195,0.199362719,0.0029,0.1877
0.9,5,concurrent,0.01,200,Yes,9,353.8068,369.6842105,0,3.1155,1,,0.000609854,0.0019,,0.0019,0
1,5,concurrent,0.01,200,Yes,9,354.1088,501,0,3.1014,1,,0.000386922,0.0012,,0.0012,0
0.9,5,dynamic,0.03,200,Yes,1,678.6528,677.6672326,0.700012664,4.8565,0.011991658,0.314379329,0.003762166,0.009433962,0.497509802,0.009,0.4695
1,5,dynamic,0.03,200,Yes,1,700.7072,623.3483849,0.703881491,4.8875,0.011605035,0.414142663,0.004795189,0.01174148,0.607538803,0.0113,0.5754
0.65,3,cohort,0.01,200,Yes,9,241.55,263.2,0,2.1978,1,,0.0002275,0.0005,,0.0005,0
1,3,cohort,0.01,200,Yes,9,250.11,301.4285714,0,2.2154,1,,0.00063194,0.0014,,0.0014,0
0.9,3,cohort,0.01,200,Yes,9,246.7,315.6363636,0,2.2078,1,,0.000498234,0.0011,,0.0011,0
0.65,7,concurrent,0.01,200,Yes,9,429.716,515.4666667,0,3.8414,1,,0.000390483,0.0015,,0.0015,0
0.65,3,concurrent,0.03,200,Yes,1,347.7076,442.602449,0.670736382,2.92,0.019858156,0.094800384,0.001914923,0.003130435,0.140768249,0.0027,0.1213
1,7,concurrent,0.01,200,Yes,9,446.1512,649.5,0,3.8981,1,,0.000641338,0.0024,,0.0024,0
0.9,7,concurrent,0.01,200,Yes,9,439.8708,487.75,0,3.8731,1,,0.000413106,0.0016,,0.0016,0
1,3,concurrent,0.03,200,Yes,1,438.0512,399.5220874,0.679003065,2.9465,0.01937046,0.414025762,0.008112493,0.013083898,0.504708755,0.0114,0.4341
0.9,3,concurrent,0.03,200,Yes,1,419.0004,438.5425562,0.678093252,2.9315,0.018816068,0.318312757,0.006040041,0.010179294,0.408378189,0.0088,0.349
0.65,7,dynamic,0.03,200,Yes,1,814.188,913.015919,0.700678504,6.7126,0.01185567,0.113314615,0.001381755,0.004744224,0.282595263,0.0046,0.2744
0.65,5,cohort,0.01,200,Yes,9,337.82,133.3333333,0,3.0663,1,,9.78E-05,0.0003,,0.0003,0
1,7,dynamic,0.03,200,Yes,1,989.642,811.7073736,0.717871938,6.8405,0.011685195,0.456833377,0.005416642,0.017547419,0.709092781,0.0173,0.6886
0.9,7,dynamic,0.03,200,Yes,1,960.098,898.2858099,0.712757101,6.7949,0.009147365,0.351315163,0.003174049,0.010613328,0.615574529,0.0104,0.5984
0.9,5,cohort,0.01,200,Yes,9,345.1,364.4,0,3.0959,1,,0.000323008,0.001,,0.001,0
1,5,cohort,0.01,200,Yes,9,357.07,345.8461538,0,3.1583,1,,0.000411614,0.0013,,0.0013,0
0.65,5,concurrent,0.03,200,Yes,1,585.8956,678.2001787,0.688309324,4.8267,0.014532872,0.118454436,0.001733818,0.004418262,0.234165876,0.0042,0.2222
0.65,3,all,0.03,200,Yes,9,321.8412,286.4,0,2.9122,1,,0.000171692,0.0005,,0.0005,0
1,3,all,0.03,200,Yes,9,326.6656,371.2941176,0,2.9091,1,,0.000618748,0.0017,,0.0017,0
0.9,3,all,0.03,200,Yes,9,324.6212,345.7777778,0,2.9059,1,,0.000309715,0.0009,,0.0009,0
0.9,5,concurrent,0.03,200,Yes,1,701.062,672.5737235,0.701414743,4.8783,0.015628489,0.362328964,0.005726908,0.013329168,0.547142108,0.0128,0.5217
0.65,7,cohort,0.01,200,Yes,9,424.06,561.8461538,0,3.8471,1,,0.000337917,0.0013,,0.0013,0
1,5,concurrent,0.03,200,Yes,1,730.7832,608.2404372,0.701949328,4.8854,0.021783877,0.467842494,0.010378361,0.023869085,0.651731375,0.0229,0.6211
0.9,7,cohort,0.01,200,Yes,9,429.28,504.8571429,0,3.8395,1,,0.000364631,0.0014,,0.0014,0
1,7,cohort,0.01,200,Yes,9,444.27,593.8,0,3.9299,1,,0.000508919,0.002,,0.002,0
0.65,3,cohort,0.03,200,Yes,1,341.42,418.8427673,0.627490417,2.9168,0.022155086,0.066343263,0.0015139,0.002563206,0.108359493,0.0022,0.0932
0.65,7,concurrent,0.03,200,Yes,1,828.2812,909.5559334,0.69892267,6.7443,0.012126866,0.125910293,0.001538462,0.005143504,0.301554618,0.005,0.2929
0.9,3,cohort,0.03,200,Yes,1,404.56,424.4058182,0.633655417,2.9399,0.018252934,0.203417303,0.003837719,0.006473988,0.312673451,0.0056,0.2704
1,3,cohort,0.03,200,Yes,1,432.63,411.892995,0.635187917,2.9471,0.026467757,0.27334144,0.007498807,0.012677193,0.40745442,0.011,0.3531
0.9,7,concurrent,0.03,200,Yes,1,979.6528,867.1794228,0.712964815,6.8002,0.018953864,0.391980744,0.007602994,0.025040717,0.655275347,0.0246,0.6366
0.65,5,all,0.03,200,Yes,9,535.0548,451.2,0,4.7996,1,,0.000229186,0.001,,0.001,0
1,7,concurrent,0.03,200,Yes,1,1016.3944,783.7937405,0.714471219,6.8296,0.020612082,0.501417756,0.010590548,0.033710154,0.744066578,0.0331,0.7242
0.9,5,all,0.03,200,Yes,9,541.1136,594,0,4.8058,1,,0.000395356,0.0018,,0.0018,0
1,5,all,0.03,200,Yes,9,542.4448,593.2631579,0,4.8187,1,,0.000394297,0.0019,,0.0019,0
0.65,3,dynamic,0.03,200,Yes,9,320.12,306.5714286,0,2.9056,1,,0.000516244,0.0014,,0.0014,0
0.9,3,dynamic,0.03,200,Yes,9,319.8928,340,0,2.9014,1,,0.000310195,0.0009,,0.0009,0
1,3,dynamic,0.03,200,Yes,9,321.9248,368,0,2.9122,1,,0.000171692,0.0005,,0.0005,0
0.65,7,all,0.03,200,Yes,9,753.4088,625.3333333,0,6.7068,1,,0.000223654,0.0015,,0.0015,0
0.9,7,all,0.03,200,Yes,9,759.8068,752.5333333,0,6.7256,1,,0.000475794,0.0031,,0.0031,0
0.65,5,cohort,0.03,200,Yes,1,565.16,641.3927869,0.627783829,4.8258,0.015970516,0.066362883,0.001078033,0.002740881,0.158149826,0.0026,0.1501
1,7,all,0.03,200,Yes,9,760.7872,818,0,6.7339,1,,0.000297005,0.002,,0.002,0
0.9,5,cohort,0.03,200,Yes,1,672.96,669.3375641,0.635092639,4.8639,0.020512821,0.202545069,0.004311596,0.010879799,0.422712934,0.0104,0.402
0.65,5,dynamic,0.03,200,Yes,9,532.5448,455.3333333,0,4.793,1,,0.000250365,0.0012,,0.0012,0
1,5,dynamic,0.03,200,Yes,9,533.3136,440.6666667,0,4.8038,1,,0.000124901,0.0006,,0.0006,0
0.9,5,dynamic,0.03,200,Yes,9,534.3632,500.5714286,0,4.7981,1,,0.000291782,0.0014,,0.0014,0
1,5,cohort,0.03,200,Yes,1,721.03,637.9530917,0.637435278,4.8896,0.033908214,0.269103937,0.009534377,0.024209538,0.5273736,0.0232,0.5038
0.65,3,all,0.01,300,Yes,1,465.9908,633.8946248,0.659215203,2.5631,0.01250539,0.177491862,0.002278262,0.00363272,0.234819854,0.0029,0.1864
1,3,all,0.01,300,Yes,1,570.5588,520.0020801,0.663998543,2.6879,0.016138263,0.643895131,0.010422056,0.01609803,0.714964371,0.0134,0.5719
0.9,3,all,0.01,300,Yes,1,572.2888,599.6278685,0.666445131,2.6684,0.014174344,0.520428016,0.007507508,0.011591403,0.600975976,0.0096,0.4803
0.65,3,concurrent,0.03,200,Yes,9,322.3924,355.6,0,2.9125,1,,0.000343348,0.001,,0.001,0
0.9,3,concurrent,0.03,200,Yes,9,329.8612,345.5,0,2.9065,1,,0.000275245,0.0008,,0.0008,0
1,3,concurrent,0.03,200,Yes,9,333.4172,314.4615385,0,2.9142,1,,0.000480406,0.0013,,0.0013,0
0.65,7,cohort,0.03,200,Yes,1,790.28,858.3588749,0.627631458,6.7391,0.022261021,0.066716307,0.001508162,0.005243138,0.208333333,0.0051,0.202
0.9,7,dynamic,0.03,200,Yes,9,752.816,811.2,0,6.7245,1,,0.000237936,0.0015,,0.0015,0
0.65,7,dynamic,0.03,200,Yes,9,752.6824,609.5238095,0,6.6982,1,,0.000328446,0.0021,,0.0021,0
1,7,dynamic,0.03,200,Yes,9,748.624,750,0,6.6921,1,,0.000209202,0.0014,,0.0014,0
0.65,5,concurrent,0.03,200,Yes,9,540.3536,496,0,4.8126,1,,0.000228567,0.001,,0.001,0
0.9,7,cohort,0.03,200,Yes,1,939.9,893.5491772,0.635934604,6.7948,0.022615536,0.203349212,0.004773057,0.016311551,0.529998971,0.016,0.515
0.9,5,concurrent,0.03,200,Yes,9,548.1088,497.0666667,0,4.8152,1,,0.000311514,0.0015,,0.0015,0
1,5,concurrent,0.03,200,Yes,9,550.9372,605.8823529,0,4.815,1,,0.000353063,0.0017,,0.0017,0
1,7,cohort,0.03,200,Yes,1,1004.76,853.7827927,0.637271026,6.837,0.025945608,0.27283075,0.007300554,0.025025432,0.641985437,0.0246,0.626
0.65,5,all,0.01,300,Yes,1,737.6544,952.6940195,0.671017908,4.007,0.010630758,0.208493055,0.002251914,0.005053986,0.33430674,0.0044,0.2862
0.65,3,cohort,0.03,200,Yes,9,320.57,301.5,0,2.9112,1,,0.000274801,0.0008,,0.0008,0
0.9,3,cohort,0.03,200,Yes,9,324.72,358.6666667,0,2.908,1,,0.000515818,0.0015,,0.0015,0
1,5,all,0.01,300,Yes,1,903.4324,737.404032,0.678620041,4.3034,0.017090188,0.711848693,0.012440593,0.027181061,0.820206842,0.0248,0.7217
0.9,5,all,0.01,300,Yes,1,906.0056,864.8262881,0.68274163,4.23,0.01313616,0.592099674,0.007910568,0.017823536,0.716662841,0.0161,0.6245
1,3,cohort,0.03,200,Yes,9,329.43,372.3809524,0,2.9129,1,,0.000720931,0.0021,,0.0021,0
0.65,7,concurrent,0.03,200,Yes,9,760.5136,700.1818182,0,6.7082,1,,0.000342864,0.0022,,0.0022,0
0.9,7,concurrent,0.03,200,Yes,9,771.5192,711.826087,0,6.7467,1,,0.000355729,0.0023,,0.0023,0
1,7,concurrent,0.03,200,Yes,9,768.5768,717.4545455,0,6.7094,1,,0.000491847,0.0033,,0.0033,0
0.65,7,all,0.01,300,Yes,1,1003.218,1243.390508,0.678630917,5.4075,0.012997563,0.226130653,0.002940096,0.008845543,0.407133932,0.0078,0.3584
0.65,3,dynamic,0.01,300,Yes,1,464.0312,631.3416518,0.658578995,2.58,0.010659898,0.150618238,0.00163297,0.002619434,0.209381288,0.0021,0.1665
0.9,3,dynamic,0.01,300,Yes,1,557.7992,602.743939,0.665452013,2.661,0.011843203,0.445648085,0.005331531,0.008543923,0.538654304,0.0071,0.4299
1,3,dynamic,0.01,300,Yes,1,563.6788,533.5225711,0.666684458,2.6704,0.010069713,0.570705567,0.005878806,0.009010091,0.666999127,0.0075,0.535
1,7,all,0.01,300,Yes,1,1224.2672,913.7602041,0.686132978,5.8895,0.017053782,0.752388075,0.013026664,0.035760171,0.874636872,0.0334,0.7828
0.9,7,all,0.01,300,Yes,1,1256.6084,1097.714688,0.690602104,5.8374,0.014511175,0.639911964,0.009353132,0.026669534,0.800496502,0.0248,0.7094
0.65,5,cohort,0.03,200,Yes,9,527.91,463.5555556,0,4.8044,1,,0.000374657,0.0018,,0.0018,0
0.9,5,cohort,0.03,200,Yes,9,537.95,526.1176471,0,4.8074,1,,0.000353622,0.0017,,0.0017,0
1,5,cohort,0.03,200,Yes,9,544.23,512.4444444,0,4.8153,1,,0.000373808,0.0018,,0.0018,0
0.9,3,all,0.01,300,Yes,9,422.3612,448.5,0,2.5357,1,,0.000315495,0.0008,,0.0008,0
0.65,3,all,0.01,300,Yes,9,419.0144,304.4444444,0,2.5417,1,,0.000354094,0.0009,,0.0009,0
1,3,all,0.01,300,Yes,9,419.9904,430.4,0,2.5309,1,,0.000395116,0.001,,0.001,0
0.65,5,dynamic,0.01,300,Yes,1,722.516,945.6645768,0.669515736,3.9849,0.013820904,0.171998192,0.002407705,0.005512173,0.296495957,0.0048,0.253
0.9,5,dynamic,0.01,300,Yes,1,904.3412,891.2022565,0.683579571,4.2315,0.010214772,0.533079419,0.005558723,0.012270617,0.689520752,0.0111,0.6014
1,5,dynamic,0.01,300,Yes,1,898.8804,773.3566027,0.681478581,4.2727,0.011299028,0.641303333,0.007369162,0.016137886,0.78682126,0.0147,0.6854
0.9,7,cohort,0.03,200,Yes,9,747.36,716.5454545,0,6.6913,1,,0.000328785,0.0022,,0.0022,0
0.65,7,cohort,0.03,200,Yes,9,737.9,611.0588235,0,6.7142,1,,0.000268089,0.0017,,0.0017,0
0.65,3,concurrent,0.01,300,Yes,1,469.9952,627.2755046,0.65931094,2.5781,0.014856082,0.163924295,0.002492988,0.003996503,0.227381102,0.0032,0.1812
1,7,cohort,0.03,200,Yes,9,761.31,731.5714286,0,6.727,1,,0.000416233,0.0028,,0.0028,0
0.9,3,concurrent,0.01,300,Yes,1,574.5416,600.6553377,0.668472851,2.6863,0.014708159,0.468388901,0.00715577,0.011367759,0.560891516,0.0094,0.4555
1,3,concurrent,0.01,300,Yes,1,583.0332,529.1187123,0.663410329,2.6966,0.018225239,0.586543516,0.010623489,0.016851918,0.67742339,0.0141,0.5416
0.65,7,dynamic,0.01,300,Yes,1,1001.2576,1234.435994,0.678923568,5.4643,0.009739067,0.19736312,0.001938693,0.005729693,0.38961922,0.0051,0.3438
0.65,5,all,0.01,300,Yes,9,654.118,736.5714286,0,3.9458,1,,0.000177404,0.0007,,0.0007,0
0.9,5,all,0.01,300,Yes,9,659.4236,849.1428571,0,3.9666,1,,0.000176474,0.0007,,0.0007,0
1,5,all,0.01,300,Yes,9,658.5052,807.1428571,0,3.962,1,,0.000353357,0.0014,,0.0014,0
0.9,7,dynamic,0.01,300,Yes,1,1234.0036,1131.897013,0.690661123,5.757,0.010654307,0.573362171,0.00612372,0.018666379,0.76963232,0.0173,0.6782
1,7,dynamic,0.01,300,Yes,1,1208.8072,954.4058201,0.687908389,5.8018,0.012316131,0.686324105,0.008471379,0.024279702,0.852207294,0.0225,0.7548
0.65,3,dynamic,0.01,300,Yes,9,417.2532,398.8571429,0,2.5368,1,,0.000275938,0.0007,,0.0007,0
0.9,3,dynamic,0.01,300,Yes,9,418.3588,541.3333333,0,2.535,1,,0.00035503,0.0009,,0.0009,0
1,3,dynamic,0.01,300,Yes,9,414.5856,485.6,0,2.5296,1,,0.00019766,0.0005,,0.0005,0
0.65,7,all,0.01,300,Yes,9,871.144,756.6153846,0,5.2397,1,,0.000248106,0.0013,,0.0013,0
0.9,7,all,0.01,300,Yes,9,882.8948,1015,0,5.2854,1,,0.000378401,0.002,,0.002,0
0.65,5,concurrent,0.01,300,Yes,1,735.9944,930.155377,0.670184595,4.0295,0.012065498,0.171512643,0.002074689,0.004797807,0.301683111,0.0042,0.2599
1,7,all,0.01,300,Yes,9,886.7152,1082.095238,0,5.3085,1,,0.000395592,0.0021,,0.0021,0
0.9,5,concurrent,0.01,300,Yes,1,904.9256,867.6343472,0.682111533,4.2353,0.013113865,0.514862697,0.006852876,0.015471323,0.680321285,0.014,0.5929
1,5,concurrent,0.01,300,Yes,1,929.0824,750.0641117,0.681305192,4.3073,0.018573238,0.645713757,0.0122968,0.027116039,0.792442124,0.0247,0.6983
0.9,5,dynamic,0.01,300,Yes,9,645.7912,917.3333333,0,3.9074,1,,0.00030711,0.0012,,0.0012,0
1,5,dynamic,0.01,300,Yes,9,638.226,854.4,0,3.872,1,,0.000258264,0.001,,0.001,0
0.65,5,dynamic,0.01,300,Yes,9,643.9816,712,0,3.894,1,,0.000231125,0.0008,,0.0008,0
0.65,3,cohort,0.01,300,Yes,1,465.232,612.1153588,0.626403285,2.57,0.014897579,0.123800608,0.001863209,0.002979146,0.185064119,0.0024,0.1472
0.65,7,concurrent,0.01,300,Yes,1,992.2804,1215.600484,0.677032287,5.4146,0.009811774,0.182931341,0.001807184,0.005393258,0.375729823,0.0048,0.3282
1,3,cohort,0.01,300,Yes,1,597.8528,553.3105614,0.630707887,2.6879,0.021611609,0.470841691,0.010433746,0.016853256,0.623769777,0.014,0.5007
0.9,3,cohort,0.01,300,Yes,1,575.2232,609.052176,0.63043021,2.673,0.016439455,0.368042011,0.006119403,0.009786154,0.512567213,0.0081,0.4099
0.9,7,concurrent,0.01,300,Yes,1,1241.0544,1089.065958,0.69140719,5.8111,0.01443299,0.54321923,0.007945516,0.023622047,0.760216143,0.0219,0.6753
0.65,3,concurrent,0.01,300,Yes,9,421.9892,297.6,0,2.5334,1,,0.000197363,0.0005,,0.0005,0
1,3,concurrent,0.01,300,Yes,9,422.7844,602,0,2.546,1,,0.000392773,0.001,,0.001,0
0.9,3,concurrent,0.01,300,Yes,9,424.236,405.6,0,2.5383,1,,0.000393964,0.001,,0.001,0
1,7,concurrent,0.01,300,Yes,1,1266.4772,922.5253723,0.688468049,5.8922,0.019199607,0.675824734,0.013314264,0.03786741,0.849164517,0.0353,0.7572
0.65,7,dynamic,0.01,300,Yes,9,869.4572,962.3333333,0,5.2482,1,,0.00022865,0.0012,,0.0012,0
0.9,7,dynamic,0.01,300,Yes,9,862.91,977.6470588,0,5.2097,1,,0.000326314,0.0017,,0.0017,0
1,7,dynamic,0.01,300,Yes,9,863.2476,1094.117647,0,5.2228,1,,0.000344643,0.0017,,0.0017,0
0.65,5,concurrent,0.01,300,Yes,9,653.8776,694.5454545,0,3.9293,1,,0.000279948,0.0011,,0.0011,0
0.9,5,concurrent,0.01,300,Yes,9,658.5604,621.0909091,0,3.9349,1,,0.00027955,0.0011,,0.0011,0
0.65,5,cohort,0.01,300,Yes,1,720.8488,907.2285845,0.626982078,3.9812,0.013933121,0.124166625,0.00176207,0.00404484,0.252663623,0.0035,0.2158
1,5,concurrent,0.01,300,Yes,9,654.2904,792.4705882,0,3.9307,1,,0.000432493,0.0017,,0.0017,0
0.65,3,all,0.03,300,Yes,1,542.5264,671.5296246,0.67728281,2.984,0.01069716,0.179578172,0.001945656,0.003210641,0.25168745,0.0028,0.22
0.9,3,all,0.03,300,Yes,1,636.5568,641.1355964,0.683292527,2.9885,0.013243346,0.523545706,0.006894723,0.011637193,0.604193065,0.0102,0.5245
0.9,5,cohort,0.01,300,Yes,1,916.5176,917.3670426,0.630477887,4.2619,0.016023215,0.367738589,0.005931531,0.013966788,0.626266114,0.0127,0.5441
0.65,3,cohort,0.01,300,Yes,9,427.8088,464.6666667,0,2.553,1,,0.000470035,0.0012,,0.0012,0
1,3,all,0.03,300,Yes,1,635.6932,556.8466921,0.683261436,2.99,0.017536663,0.638368761,0.011481904,0.019140401,0.713796254,0.0167,0.625
0.9,3,cohort,0.01,300,Yes,9,433.7992,472,0,2.5447,1,,0.000432271,0.0011,,0.0011,0
